# source<TAB>replacement
zolo	Zoro
roronoa	Roronoa
lufi	Luffy
nami	Nami
usopp	Usopp
sanji	Sanji
chopper	Chopper
robin	Robin
franky	Franky
brook	Brook
grand line	Grand Line
all blue	All Blue
east blue	East Blue
drum island	Drum Island
alabaster	Alabasta
thriller bark	Thriller Bark
enies lobby	Enies Lobby
water seven	Water Seven
sky island	Sky Island
wano	Wano
marineford	Marineford
going merry	Going Merry
thousand sunny	Thousand Sunny
straw hat	Straw Hat
devil fruit	Devil Fruit
haki	Haki
gum gum	Gum-Gum
mihawk	Mihawk
doflamingo	Doflamingo
blackbeard	Blackbeard
kaido	Kaido
big mom	Big Mom
shanks	Shanks
gold roger	Gold Roger
nakama	Nakama
pirate king	Pirate King
marine	Marine
yonko	Yonko
kirsten	Kristen
nani	what
